1;CERNUSCO SUL NAVIGLIO;MI
2;TRIESTE;TS
3;VAILATE;CR
4;ROMANO DI LOMBARDIA;BG
5;ALBANIA;SE
6;COLOGNO AL SERIO;BG
7;TREVIGLIO;BG
8;LOCRI;RC
9;ZAMBIA;SE
10;BERGAMO;BG
11;CERIGNOLA;FG
12;VODO CADORE;BL
13;CATANIA;CT
14;CASTELLEONE;CR
15;VAPRIO D` ADDA;MI
16;MILANO;MI
17;ARBOREA;OR
18;MELZO;MI
19;BOLIVIA;SE
20;CHIAVARI;GE
21;TARANTO;TA
22;SENEGAL;SE
23;BREMBATE;BG
24;PONTE SAN PIETRO;BG
25;MONZA;MB
26;MAROCCO;SE
27;CASTEL ROZZONE;BG
28;BRIGNANO GERA D` ADDA;BG
29;PRAMAGGIORE;VE
30;SOTTO IL MONTE GIOVANNI XXIII;BG
31;TRAVAGLIATO;BS
32;FILAGO;BG
33;LECCO;LC
34;TRUCCAZZANO;MI
35;PETRONA`;CZ
36;AGRATE BRIANZA;MB
37;VERDELLINO;BG
38;SERIATE;BG
39;CALVENZANO;BG
40;SLOVACCHIA;SE
41;FARA GERA D` ADDA;BG
42;GUINEA;SE
43;ARCENE;BG
44;CANONICA D` ADDA;BG
45;SERRASTRETTA;CZ
46;CARAVAGGIO;BG
47;GORGONZOLA;MI
48;GIFFONE;RC
49;ISEO;BS
50;MEZZAGO;MB
51;DOMEGGE DI CADORE;BL
52;BAGNOLO CREMASCO;CR
53;POMPEI;NA
54;ROMANIA;SE
55;UCRAINA;SE
56;SESTO SAN GIOVANNI;MI
57;PONTIROLO NUOVO;BG
58;BUSTO ARSIZIO;VA
59;CALCINATE;BG
60;CALOLZIOCORTE;LC
61;PALERMO;PA
62;LODI;LO
63;PANDINO;CR
64;TORINO;TO
65;MORENGO;BG
66;OSIO SOTTO;BG
67;BONATE SOPRA;BG
68;BONATE SOTTO;BG
69;PERU`;SE
70;GERMANIA;SE
71;COSTA D` AVORIO;SE
72;EGITTO;SE
73;SARNICO;BG
74;GIULIANOVA;TE
75;TREZZO SULL` ADDA;MI
76;CILE;SE
77;FRANCAVILLA FONTANA;BR
78;RIMINI;RN
79;VARESE;VA
80;CALTAGIRONE;CT
81;CALUSCO D` ADDA;BG
82;MONTEMILETTO;AV
83;CARONIA;ME
84;AGNADELLO;CR
85;SONCINO;CR
86;CASIRATE D` ADDA;BG
87;SIRACUSA;SR
88;FORMIA;LT
89;POLESELLA;RO
90;SIERRA LEONE;SE
91;SANT` ANTONIO ABATE;NA
92;ALME`;BG
93;BARI;BA
94;TORRE ANNUNZIATA;NA
95;STORNARA;FG
96;ARDESIO;BG
97;CAROBBIO DEGLI ANGELI;BG
98;INZAGO;MI
99;TRESCORE BALNEARIO;BG
100;INDIA;SE
101;SPIRANO;BG
102;CASSANO D` ADDA;MI
103;BANGLADESH;SE
104;TUNISIA;SE
105;SANTA FLAVIA;PA
106;CEYLON;SE
107;RIVOLTA D` ADDA;CR
108;SANT` ANGELO LODIGIANO;LO
109;CERNOBBIO;CO
110;ALZANO LOMBARDO;BG
111;SORMANO;CO
112;FRANCIA;SE
113;GINOSA;TA
114;SANT` ANGELO DEI LOMBARDI;AV
115;MONZA;MI
116;VITTORIA;RG
117;ECUADOR;SE
118;PONTOGLIO;BS
119;GESUALDO;AV
